Year,Player,Age,Hometown,Home State,Tm,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,FantPos,FantPt,Height (inches),Weight,College,College wins,College losses,DOB,Draft Round,Draft Year,Month_of_Birth
1999,Adrian Murrell,29,Fayetteville,NC,ARI,16,12,0,0,0,0,0,193,553,2.87,0,49,335,6.84,0,RB,89,71,211,West Virginia,120,67,16-10-1970,5,1993,10
1999,Andy McCullough,24,Dayton,OH,ARI,2,0,0,0,0,0,0,0,0,,0,3,45,15,0,WR,5,75,210,Tennessee,113,75,11-11-1975,7,1998,11
1999,Chris Greisen,23,Sturgeon Bay,WI,ARI,2,0,1,6,4,0,0,0,0,,0,0,0,,0,QB,,75,227,NW Missouri St.,#N/A,#N/A,02-07-1976,7,0,7
1999,Dave Brown,29,Summit,NJ,ARI,8,5,84,169,944,2,6,13,49,3.77,0,0,0,,0,QB,39,77,230,Duke,44,134,25-02-1970,1,0,2
1999,David Boston,21,Humble,TX,ARI,16,8,0,0,0,0,0,5,0,0,0,40,473,11.83,2,WR,59,74,240,Ohio St.,138,41,19-08-1978,1,1999,8
1999,Dennis McKinley,23,Kosciusko,MS,ARI,16,0,0,0,0,0,0,0,0,,0,1,4,4,0,RB,,74,250,Mississippi St.,83,99,03-11-1976,6,1999,11
1999,Derek Brown,29,Fairfax,VA,ARI,15,0,0,0,0,0,0,0,0,,0,0,0,,0,TE,,78,259,Notre Dame,112,74,31-03-1970,1,1992,3
1999,Frank Sanders,26,Fort Lauderdale,FL,ARI,16,16,0,1,0,0,0,0,0,,0,79,954,12.08,1,WR,101,74,215,Auburn,130,61,17-02-1973,2,1995,2
1999,Jake Plummer,25,Boise,ID,ARI,12,11,201,381,2111,9,24,39,121,3.1,2,0,0,,0,QB,97,74,212,Arizona St.,101,86,19-12-1974,2,1997,12
1999,Joel Makovicka,24,Brainard,NE,ARI,16,10,0,0,0,0,0,8,7,0.88,0,10,70,7,1,RB,14,71,246,Nebraska,134,61,06-10-1975,4,1999,10
1999,Johnny McWilliams,27,Ontario,CA,ARI,15,4,0,0,0,0,0,0,0,,0,11,71,6.45,1,TE,13,76,271,USC,129,49,14-12-1972,3,1996,12
1999,MarTay Jenkins,24,Waterloo,IA,ARI,3,0,0,0,0,0,0,0,0,,0,0,0,,0,WR,,73,201,Nebraska-Omaha,#N/A,#N/A,28-02-1975,6,0,2
1999,Michael Pittman,24,New Orleans,LA,ARI,10,2,1,1,26,0,0,64,289,4.52,2,16,196,12.25,0,RB,62,73,218,Fresno St.,121,74,14-08-1975,4,1998,8
1999,Rob Moore,31,East Meadow,NY,ARI,14,10,0,0,0,0,0,0,0,,0,37,621,16.78,5,WR,92,75,203,Syracuse,81,101,27-09-1968,1,0,9
1999,Terry Hardy,23,Montgomery,AL,ARI,16,16,0,0,0,0,0,0,0,,0,30,222,7.4,0,TE,22,76,266,Southern Miss,104,85,31-05-1976,5,1998,5
1999,Trey Junkin,38,Conway,AR,ARI,16,0,0,0,0,0,0,0,0,,0,0,0,,0,TE,,74,240,Louisiana Tech,86,95,23-01-1961,4,1983,1
1999,Bob Christian,31,St. Louis,MO,ATL,16,14,0,0,0,0,0,38,174,4.58,5,40,354,8.85,2,RB,95,71,226,Northwestern,92,92,14-11-1968,12,1991,11
1999,Brian Kozlowski,29,Rochester,NY,ATL,16,3,0,0,0,0,0,0,0,,0,11,122,11.09,2,TE,24,75,250,Connecticut,83,86,04-10-1970,0,0,10
1999,Byron Hanspard,23,Dallas,TX,ATL,12,4,0,0,0,0,0,136,383,2.82,1,10,93,9.3,0,RB,54,70,198,Texas Tech,120,70,23-01-1976,2,1997,1
1999,Chris Calloway,31,Chicago,IL,ATL,11,6,0,0,0,0,0,0,0,,0,22,314,14.27,1,WR,37,70,188,Michigan,124,64,29-03-1968,4,1990,3
1999,Chris Chandler,34,Everett,WA,ATL,12,12,174,307,2339,16,11,16,57,3.56,1,0,0,,0,QB,147,76,224,Washington,86,98,12-10-1965,3,1988,10
1999,Danny Kanell,26,Fort Lauderdale,FL,ATL,3,1,42,84,593,4,4,0,0,,0,0,0,,0,QB,32,75,218,Florida St.,130,54,21-11-1973,4,1996,11
1999,Eugene Baker,23,Monroeville,PA,ATL,3,1,0,0,0,0,0,0,0,,0,7,118,16.86,0,WR,12,74,183,Kent St.,66,111,18-03-1976,5,1999,3
1999,Jamal Anderson,27,Woodland Hills,CA,ATL,2,2,0,0,0,0,0,19,59,3.11,0,2,34,17,0,RB,9,71,237,Utah,123,61,30-09-1972,7,1994,9
1999,Jammi German,25,Fort Myers,FL,ATL,14,0,0,0,0,0,0,0,0,,0,12,219,18.25,3,WR,40,73,191,Miami (FL),130,58,04-07-1974,3,1998,7
1999,Jeff Paulk,23,Phoenix,AZ,ATL,1,0,0,0,0,0,0,0,0,,0,0,0,,0,RB,,73,240,Arizona St.,101,86,26-04-1976,3,1999,4
1999,Ken Oxendine,24,Richmond,VA,ATL,12,9,0,0,0,0,0,141,452,3.21,1,17,172,10.12,1,RB,74,73,228,Virginia Tech,147,50,04-10-1975,7,1998,10
1999,O.J. Santiago,25,Whitby,Canada,ATL,14,14,0,0,0,0,0,0,0,,0,15,174,11.6,0,TE,17,79,265,Kent St.,66,111,04-03-1974,3,1997,3
1999,Reggie Kelly,22,Aberdeen,MS,ATL,16,2,0,0,0,0,0,0,0,,0,8,146,18.25,0,TE,15,76,255,Mississippi St.,83,99,22-02-1977,2,1999,2
1999,Rodrick Monroe,24,Hearne,TX,ATL,2,0,0,0,0,0,0,0,0,,0,1,8,8,0,TE,1,77,254,Cincinnati,114,74,30-07-1975,7,1998,7
1999,Ronnie Harris,29,Granada Hills,CA,ATL,13,0,0,0,0,0,0,0,0,,0,10,164,16.4,0,WR,16,71,179,Oregon,143,47,04-06-1970,0,0,6
1999,Terance Mathis,32,Detroit,MI,ATL,16,16,0,0,0,0,0,1,0,0,0,81,1016,12.54,6,WR,138,70,177,New Mexico,72,111,07-06-1967,6,1990,6
1999,Tim Dwight,24,Iowa City,IA,ATL,12,8,0,0,0,0,0,5,28,5.6,1,32,669,20.91,7,WR,118,68,180,Iowa,108,79,13-07-1975,4,1998,7
1999,Tony Graziani,26,Las Vegas,NV,ATL,11,3,62,118,759,2,4,9,11,1.22,0,0,0,,0,QB,31,74,210,Oregon,143,47,23-12-1973,7,1997,12
1999,Winslow Oliver,26,Houston,TX,ATL,14,0,0,0,0,0,0,8,32,4,0,8,74,9.25,0,RB,11,67,180,New Mexico,72,111,03-03-1973,3,1996,3
1999,A.J. Ofodile,26,Detroit,MI,BAL,7,3,0,0,0,0,0,0,0,,0,4,25,6.25,0,TE,3,78,260,Missouri,109,78,09-10-1973,5,1994,10
1999,Aaron Pierce,30,Seattle,WA,BAL,10,8,0,0,0,0,0,0,0,,0,11,102,9.27,0,TE,10,77,252,Washington,86,98,06-09-1969,3,1992,9
1999,Billy Davis,27,El Paso,TX,BAL,16,0,0,0,0,0,0,0,0,,0,6,121,20.17,0,WR,12,73,205,Pittsburgh,106,80,06-07-1972,0,0,7
1999,Brandon Stokley,23,Blacksburg,VA,BAL,2,0,0,0,0,0,0,0,0,,0,1,28,28,1,WR,9,71,197,La-Lafayette,74,104,23-06-1976,4,0,6
1999,Charles Evans,32,Augusta,GA,BAL,16,10,0,0,0,0,0,38,134,3.53,0,32,235,7.34,1,RB,45,73,240,Clark (GA),#N/A,#N/A,16-04-1967,11,0,4
1999,Errict Rhett,29,Pembrokes,FL,BAL,16,10,0,0,0,0,0,236,852,3.61,5,24,169,7.04,2,RB,144,71,210,Florida,139,55,11-12-1970,2,1994,12
1999,Frank Wainright,32,Peoria,IL,BAL,16,0,0,0,0,0,0,0,0,,0,0,0,,0,TE,,74,255,Northern Colorado,#N/A,#N/A,10-10-1967,8,0,10
1999,Greg DeLong,26,Orefield,PA,BAL,16,7,0,0,0,0,0,0,0,,0,13,52,4,1,TE,11,76,250,North Carolina,70,97,03-04-1973,0,0,4
1999,Jay Graham,24,Concord,NC,BAL,4,0,0,0,0,0,0,0,0,,0,0,0,,0,RB,,73,220,Tennessee,113,75,14-07-1975,3,1997,7
1999,Jermaine Lewis,25,Lanham,MD,BAL,15,6,0,0,0,0,0,5,11,2.2,0,25,281,11.24,2,WR,41,67,183,Maryland,98,86,16-10-1974,5,1996,10
1999,Justin Armour,26,Colorado Springs,CO,BAL,15,7,0,0,0,0,0,0,0,,0,37,538,14.54,4,WR,78,76,210,Stanford,101,81,01-01-1973,4,1995,1
1999,Lovett Purnell,27,Seaford,DE,BAL,2,0,0,0,0,0,0,0,0,,0,2,10,5,0,TE,1,75,245,West Virginia,120,67,07-04-1972,7,1996,4
1999,Patrick Johnson,23,Gainesville,GA,BAL,10,6,0,0,0,0,0,1,12,12,0,29,526,18.14,3,WR,72,70,186,Oregon,143,47,10-08-1976,2,1998,8
1999,Priest Holmes,26,Fort Smith,AR,BAL,9,4,0,0,0,0,0,89,506,5.69,1,13,104,8,1,RB,73,69,213,Texas,149,45,07-10-1973,0,0,10
1999,Qadry Ismail,29,Newark,NJ,BAL,16,16,0,0,0,0,0,1,4,4,0,68,1105,16.25,6,WR,147,73,196,Syracuse,81,101,08-11-1970,2,1993,11
1999,Ryan Collins,24,Minneapolis,MN,BAL,4,3,0,0,0,0,0,0,0,,0,4,62,15.5,0,TE,6,78,259,St. Thomas,#N/A,#N/A,01-11-1975,0,0,11
1999,Scott Mitchell,31,Salt Lake City,UT,BAL,2,2,24,56,236,1,4,1,1,1,0,0,0,,0,QB,6,78,240,Utah,123,61,02-01-1968,4,1990,1
1999,Stoney Case,27,Odessa,TX,BAL,10,4,77,170,988,3,8,36,141,3.92,3,0,0,,0,QB,68,75,204,New Mexico,72,111,07-07-1972,3,1995,7
